model_id,status,route,executed,score_claim,branch_status
model_a_affine,eligible_score,direct_qr_block_conditional,true,yes,fixed_full_rank_positive_pivot
model_b_nonlinear_accumulation,eligible_score,direct_qr_block_conditional,true,yes,fixed_full_rank_positive_pivot
model_c_nonlinear_growth,eligible_score,direct_qr_block_conditional,true,yes,fixed_full_rank_positive_pivot
lgssm_2d_h25_rich,adapter_required,none,false,no,classified_only
sv_1d_h18_rich,not_applicable_contract,none,false,no,classified_only
range_bearing_4d_h20_rich,adapter_required,none,false,no,classified_only
structural_ar1_quadratic_h16,eligible_value_only,rectangular_direct_stack_svd_support,true,no,value_only_rank_discovery
spatial_sir_j3_rk4,not_applicable_contract,none,false,no,classified_only
predator_prey_rk4,adapter_required,none,false,no,classified_only
LGSSM-EXACT,adapter_required,none,false,no,classified_only
PP-UKF,eligible_score,one_time_cholesky_adapter_then_direct_qr_block_conditional,true,yes,fixed_full_rank_positive_pivot
STR-UKF,eligible_score,one_time_cholesky_adapter_then_direct_qr_block_conditional,true,yes,fixed_full_rank_positive_pivot
PP-SGQF,not_applicable_contract,none,false,no,classified_only
SIR-SGQF,not_applicable_contract,none,false,no,classified_only
SVX-SGQF,blocked,none,false,no,classified_only
KSC-UKF,blocked,none,false,no,classified_only
PP-ZC,blocked,none,false,no,classified_only
STR-ZC,blocked,none,false,no,classified_only
SIR-ZC,blocked,none,false,no,classified_only
SVX-ZC,blocked,none,false,no,classified_only
SIR-UKF,owner_excluded,none,false,no,classified_only
SSL-LSTM,owner_excluded,none,false,no,classified_only
actual_sv_independent_panel,historical_only,none,false,no,classified_only
macrofinance_lgssm_adapter,not_applicable_contract,none,false,no,classified_only
