"d","N","quantile","recovered_tail","fixed_01_mass_above_floor"
2,128,19.4081210556785,6.103515625e-05,0.99
5,128,26.8490740640409,6.10351562500001e-05,0.899037174569079
10,128,36.8101950692221,6.10351562500001e-05,0.48773522472111
20,128,53.8427841450586,6.10351562500003e-05,0.019659543044534
40,128,83.8267167764767,6.103515625e-05,9.65663292944005e-08
80,128,137.990740102998,6.10351562499996e-05,4.67479932079348e-24
2,256,22.1807097779182,1.52587890625e-05,0.99
5,256,29.9249517731608,1.52587890625e-05,0.899037174569079
10,256,40.2582916381009,1.52587890625e-05,0.48773522472111
20,256,57.8465891184806,1.52587890625e-05,0.019659543044534
40,256,88.6454433492858,1.52587890625e-05,9.65663292944005e-08
80,256,143.988250683661,1.52587890625001e-05,4.67479932079348e-24
2,512,24.953298500158,3.814697265625e-06,0.99
5,512,32.9704066494124,3.81469726562502e-06,0.899037174569079
10,512,43.6431455444386,3.814697265625e-06,0.48773522472111
20,512,61.7424368041192,3.81469726562499e-06,0.019659543044534
40,512,93.2950114167702,3.81469726562501e-06,9.65663292944005e-08
80,512,149.732184727533,3.81469726562498e-06,4.67479932079348e-24
2,1024,27.7258872223978,9.5367431640625e-07,0.99
5,1024,35.9911864234683,9.53674316406251e-07,0.899037174569079
10,1024,46.9763403131088,9.53674316406251e-07,0.48773522472111
20,1024,65.5496491877794,9.53674316406252e-07,0.019659543044534
40,1024,97.805232084709,9.53674316406248e-07,9.65663292944005e-08
80,1024,155.266816770614,9.53674316406244e-07,4.67479932079348e-24
