dataset,regime,particles,method,score_mse,bias_screen_pass,maximum_absolute_bias_over_mcse
1390,affine,4096,bootstrap_fisher,0.0035753025323406414,True,1.3884484750827686
1390,affine,4096,bootstrap_fixed,0.01951390650087032,False,41.43903458141394
1390,affine,4096,iapf_fisher,0.0030215440403031342,True,1.8004826872889252
1390,affine,4096,iapf_fixed,0.0009023926865635958,True,1.68109944104223
1390,affine,4096,no_resampling,0.0015265681801141262,True,1.2869302506051226
1390,affine,4096,ekf,1.0350057422214949e-13,N/A deterministic,N/A deterministic
1390,affine,4096,ukf,1.2426662066850225e-13,N/A deterministic,N/A deterministic
1400,weak,256,bootstrap_fisher,0.3192516154638761,True,1.1977449739576171
1400,weak,256,bootstrap_fixed,1.13903634502179,False,30.267411087331247
1400,weak,256,iapf_fisher,0.16891398090885873,True,0.8353028505234038
1400,weak,256,iapf_fixed,0.061396394130042733,True,3.2133657754372003
1400,weak,256,no_resampling,0.35960571262232954,True,0.8866140765302158
1400,weak,256,ekf,0.028411657088843453,N/A deterministic,N/A deterministic
1400,weak,256,ukf,0.007520976808760337,N/A deterministic,N/A deterministic
1400,weak,1024,bootstrap_fisher,0.0746032831943201,True,2.306071319608842
1400,weak,1024,bootstrap_fixed,1.1209508975923441,False,67.23054165029876
1400,weak,1024,iapf_fisher,0.042751894725573364,True,0.8740932823930412
1400,weak,1024,iapf_fixed,0.014140523835058804,True,2.7514563924428863
1400,weak,1024,no_resampling,0.0981481641597953,True,1.4457861468232216
1400,weak,1024,ekf,0.028411657088843453,N/A deterministic,N/A deterministic
1400,weak,1024,ukf,0.007520976808760337,N/A deterministic,N/A deterministic
1400,weak,4096,bootstrap_fisher,0.01878273488413104,True,2.6400966188176627
1400,weak,4096,bootstrap_fixed,1.0489005396196827,False,142.0989293644104
1400,weak,4096,iapf_fisher,0.010014654086318199,True,3.1443395830501766
1400,weak,4096,iapf_fixed,0.003982507512886706,False,5.492899586415778
1400,weak,4096,no_resampling,0.025570547092315005,True,1.9540039136185166
1400,weak,4096,ekf,0.028411657088843453,N/A deterministic,N/A deterministic
1400,weak,4096,ukf,0.007520976808760337,N/A deterministic,N/A deterministic
1401,weak,256,bootstrap_fisher,0.5284279919181119,True,2.3946482718249413
1401,weak,256,bootstrap_fixed,0.4668199188232487,False,8.660788171636394
1401,weak,256,iapf_fisher,0.27014012231225326,True,2.0087965744845735
1401,weak,256,iapf_fixed,0.07086603137284553,True,2.19337791770597
1401,weak,256,no_resampling,0.4873477092104819,True,2.1265073569078576
1401,weak,256,ekf,0.03792881765605834,N/A deterministic,N/A deterministic
1401,weak,256,ukf,0.007770677047764724,N/A deterministic,N/A deterministic
1401,weak,1024,bootstrap_fisher,0.10848602627275748,True,2.9485738659254705
1401,weak,1024,bootstrap_fixed,0.1509776655490917,False,17.704072698866927
1401,weak,1024,iapf_fisher,0.06260972092692269,True,2.4902113840163485
1401,weak,1024,iapf_fixed,0.014785732253996854,True,1.1417889261509206
1401,weak,1024,no_resampling,0.09637394935503377,True,2.0624702393447896
1401,weak,1024,ekf,0.03792881765605834,N/A deterministic,N/A deterministic
1401,weak,1024,ukf,0.007770677047764724,N/A deterministic,N/A deterministic
1401,weak,4096,bootstrap_fisher,0.026367282483088002,True,1.4090306412584825
1401,weak,4096,bootstrap_fixed,0.07301332705236172,False,35.50658889761104
1401,weak,4096,iapf_fisher,0.014334266500350313,True,1.348423670029591
1401,weak,4096,iapf_fixed,0.004467412992528814,False,3.871553029272759
1401,weak,4096,no_resampling,0.033425665812915575,True,0.6951985874169996
1401,weak,4096,ekf,0.03792881765605834,N/A deterministic,N/A deterministic
1401,weak,4096,ukf,0.007770677047764724,N/A deterministic,N/A deterministic
1410,curved,256,bootstrap_fisher,0.16321549985000489,True,2.2484892148886972
1410,curved,256,bootstrap_fixed,0.4375937448302145,False,16.173162785628545
1410,curved,256,iapf_fisher,0.11637888908166161,True,1.2049332565355027
1410,curved,256,iapf_fixed,0.047104244426529975,False,3.8511356288651704
1410,curved,256,no_resampling,0.21210519109321826,True,0.832643282858273
1410,curved,256,ekf,0.056806506156877,N/A deterministic,N/A deterministic
1410,curved,256,ukf,0.016779875138902025,N/A deterministic,N/A deterministic
1410,curved,1024,bootstrap_fisher,0.046715095425997055,True,1.118983596706525
1410,curved,1024,bootstrap_fixed,0.327341628695689,False,27.087506426148153
1410,curved,1024,iapf_fisher,0.029076438950847418,True,1.926660847209343
1410,curved,1024,iapf_fixed,0.014094120309814046,False,4.902007662658284
1410,curved,1024,no_resampling,0.05868402002804475,True,0.8702208062475757
1410,curved,1024,ekf,0.056806506156877,N/A deterministic,N/A deterministic
1410,curved,1024,ukf,0.016779875138902025,N/A deterministic,N/A deterministic
1410,curved,4096,bootstrap_fisher,0.012362041050345664,True,1.1013449562462352
1410,curved,4096,bootstrap_fixed,0.32468046737679085,False,46.41270174754754
1410,curved,4096,iapf_fisher,0.008076362735565331,True,1.0507279677990264
1410,curved,4096,iapf_fixed,0.004106143534266442,False,9.614028059320876
1410,curved,4096,no_resampling,0.01290998570980716,True,0.7193835187351059
1410,curved,4096,ekf,0.056806506156877,N/A deterministic,N/A deterministic
1410,curved,4096,ukf,0.016779875138902025,N/A deterministic,N/A deterministic
1411,curved,256,bootstrap_fisher,0.1313913010524443,True,1.4812525096320217
1411,curved,256,bootstrap_fixed,0.2872744171585869,False,21.933923342370488
1411,curved,256,iapf_fisher,0.09222941457338303,True,1.2235741750006528
1411,curved,256,iapf_fixed,0.03330704189867957,True,3.599758662938876
1411,curved,256,no_resampling,0.12017396427621826,True,0.5464162273943547
1411,curved,256,ekf,0.023259481304801023,N/A deterministic,N/A deterministic
1411,curved,256,ukf,0.04297238671839477,N/A deterministic,N/A deterministic
1411,curved,1024,bootstrap_fisher,0.027360366262508217,True,2.9098504410199046
1411,curved,1024,bootstrap_fixed,0.16888028644057848,False,46.96771022879301
1411,curved,1024,iapf_fisher,0.029424746130220225,True,1.0312490163927304
1411,curved,1024,iapf_fixed,0.010077517542569506,False,7.364118040223217
1411,curved,1024,no_resampling,0.028646013193000298,True,1.5384533068095987
1411,curved,1024,ekf,0.023259481304801023,N/A deterministic,N/A deterministic
1411,curved,1024,ukf,0.04297238671839477,N/A deterministic,N/A deterministic
1411,curved,4096,bootstrap_fisher,0.008746828705106043,True,0.7928080921886779
1411,curved,4096,bootstrap_fixed,0.15099639034934909,False,91.7109817795918
1411,curved,4096,iapf_fisher,0.006096612889130712,True,0.8004386083532726
1411,curved,4096,iapf_fixed,0.00395446901679623,False,13.961646085296026
1411,curved,4096,no_resampling,0.007144377645566773,True,0.6454471282626014
1411,curved,4096,ekf,0.023259481304801023,N/A deterministic,N/A deterministic
1411,curved,4096,ukf,0.04297238671839477,N/A deterministic,N/A deterministic
