stage,dataset,regime,arm,fit_status,final_particles,last_particles,last_cv,iterations,fitting_bound,raw_mse,ancestor_mse,innovation_mse,ukf_mse,ekf_mse,no_resampling_mse,heuristic_losses,bias_pass,failure
calibration,2000,weak,large_early,valid,4096,256,0.021180747799912806,3,False,0.006820729287543975,0.0037470002958983582,0.0010383374560962023,0.004927472376629563,0.0026768153549675145,0.00504296793844186,[],True,
calibration,2000,weak,large_stable,valid,4096,512,0.020916733679119427,5,False,0.006483466442766772,0.0038120545510123525,0.0011095519670259388,0.004927472376629563,0.0026768153549675145,0.00504296793844186,[],True,
calibration,2000,weak,small_early,valid,4096,16,0.1069736976466201,3,False,0.006566023806961538,0.00397007373779659,0.0012516558155878231,0.004927472376629563,0.0026768153549675145,0.00504296793844186,[],True,
calibration,2000,weak,small_stable,valid,4096,64,0.043283577010347955,10,False,0.006578646425570455,0.0038122322969859554,0.001229692788448227,0.004927472376629563,0.0026768153549675145,0.00504296793844186,[],True,
calibration,2001,weak,large_early,valid,4096,256,0.023870887705372865,3,False,0.007006456340361101,0.003925049607976973,0.0013296045731203553,0.011393551349985414,0.006223359652059623,0.006861877194520344,[],True,
calibration,2001,weak,large_stable,valid,4096,512,0.017548662895502103,5,False,0.006822140369634759,0.004130968174939318,0.0013134204350463492,0.011393551349985414,0.006223359652059623,0.006861877194520344,[],True,
calibration,2001,weak,small_early,valid,4096,16,0.01086271509681032,3,False,0.007136085377969899,0.003992161474534394,0.0012571449659021607,0.011393551349985414,0.006223359652059623,0.006861877194520344,[],True,
calibration,2001,weak,small_stable,rejected,4096,64,0.05060211496008862,,,,,,,,,,,iAPF iteration cap exhausted before convergence
calibration,2010,curved,large_early,valid,4096,512,0.026545687306150638,3,False,0.004780870462011268,0.0026390760729688096,0.0018008880612539577,0.010708165936583778,0.008587562622664285,0.003396498209914041,[],True,
calibration,2010,curved,large_stable,valid,4096,512,0.009665844055077205,5,False,0.0038937504265458655,0.002290066991543999,0.0014363925978263532,0.010708165936583778,0.008587562622664285,0.003396498209914041,[],True,
calibration,2010,curved,small_early,valid,4096,32,0.12143841290173434,3,False,0.004799128143785199,0.002700230335021526,0.0018544203334766695,0.010708165936583778,0.008587562622664285,0.003396498209914041,[],True,
calibration,2010,curved,small_stable,valid,4096,32,0.0455466631404277,6,False,0.004324395450753382,0.002066890788450922,0.0012007323622569366,0.010708165936583778,0.008587562622664285,0.003396498209914041,[],True,
calibration,2011,curved,large_early,valid,4096,256,0.0010590658114033786,3,False,0.0044214775301291915,0.0028174308957970456,0.0014773487224515494,0.009803169572429962,0.0077507608319902,0.003288659150393257,[],True,
calibration,2011,curved,large_stable,valid,4096,512,0.01697129130739356,5,False,0.004174658098775028,0.0029206858335633417,0.00149353134825516,0.009803169572429962,0.0077507608319902,0.003288659150393257,[],True,
calibration,2011,curved,small_early,valid,4096,32,0.017315420251501384,3,False,0.0038379518739320487,0.0026490523356948337,0.0014786969689846068,0.009803169572429962,0.0077507608319902,0.003288659150393257,[],True,
calibration,2011,curved,small_stable,valid,4096,32,0.03213833268925381,7,False,0.0042026860635730546,0.002730113188557787,0.0013955466282625415,0.009803169572429962,0.0077507608319902,0.003288659150393257,[],True,
challenge,1900,weak,N16384,valid,16384,16,0.4398517217382491,3,True,0.01745285841383904,0.017553975964700305,0.015040926851124818,0.013889020990898622,0.061069959583414796,0.03734518450217392,['ukf'],True,
challenge,1900,weak,N4096,valid,4096,16,0.4398517217382491,3,True,0.0710742313527361,0.0766716136790835,0.06815628693839597,0.013889020990898622,0.061069959583414796,0.12001357505188481,"['ekf', 'ukf']",True,
challenge,1901,weak,N16384,valid,16384,32,0.07052906606524352,3,False,0.0010556466280643563,0.000496009448400423,0.00032423248581306955,0.0005113080331413194,0.0012487417604718637,0.0005075299997326751,[],True,
challenge,1901,weak,N4096,valid,4096,32,0.07052906606524352,3,False,0.0036506413538176193,0.0023935353829821976,0.0012723419992758025,0.0005113080331413194,0.0012487417604718637,0.0024625852126457124,"['ekf', 'ukf']",True,
challenge,2200,weak,N16384,valid,16384,512,0.015977253786452438,5,False,0.0010403515201048228,0.0004700617631412241,0.0003138739243404751,0.00041076170497904416,0.0009602955671268388,0.00038235405911991784,[],True,
challenge,2200,weak,N4096,valid,4096,512,0.015977253786452438,5,False,0.003937423309597984,0.001799718280496918,0.001058140187897267,0.00041076170497904416,0.0009602955671268388,0.0017113531993222346,"['ekf', 'ukf']",True,
precision,2400,weak,N16384,valid,16384,512,0.0484231925796693,5,False,0.001656280430205108,0.0006330227073673531,0.00026679944612734667,0.0034509377719164768,0.0019547192148807887,0.0008288120142260318,[],True,
precision,2400,weak,N4096,valid,4096,512,0.0484231925796693,5,False,0.004275113105296181,0.0026559876527494372,0.0009571962935936344,0.0034509377719164768,0.0019547192148807887,0.002986934200088699,[],True,
precision,2401,weak,N16384,valid,16384,512,0.047241431789634684,5,False,0.009628632632965286,0.008610295959965797,0.00549574558919518,0.3592669279567801,0.5770823687199935,0.02653883723748288,[],True,
precision,2401,weak,N4096,valid,4096,512,0.047241431789634684,5,False,0.04192471186840989,0.0341683466070288,0.025622297200776464,0.3592669279567801,0.5770823687199935,0.11432805434234705,[],True,
precision,2410,curved,N16384,valid,16384,512,0.031239662989250953,5,False,0.0021823590607657002,0.0013397910046346409,0.0006014939038388384,0.2831582142263966,0.3030809943686658,0.0026559103238888208,[],True,
precision,2410,curved,N4096,valid,4096,512,0.031239662989250953,5,False,0.008522890272572525,0.00530599410534381,0.002577058205943919,0.2831582142263966,0.3030809943686658,0.011371291732813272,[],True,
precision,2411,curved,N16384,valid,16384,512,0.03851709034096585,5,False,0.001367159760756546,0.0008155530775474407,0.0003855054835859187,0.025731026929648536,0.01221345514108679,0.0012807100145311263,[],True,
precision,2411,curved,N4096,valid,4096,512,0.03851709034096585,5,False,0.005004316002923798,0.0030260657393844826,0.0015121900334647326,0.025731026929648536,0.01221345514108679,0.0043483660784502465,[],True,
validation,2200,weak,large_stable,valid,4096,512,0.015977253786452438,5,False,0.00398011224853662,0.0018941490119905658,0.0010663336441062803,0.00041076170497904416,0.0009602955671268388,0.0019323462974034607,"['ekf', 'ukf']",True,
validation,2200,weak,small_early,valid,4096,16,0.017866362887070202,3,False,0.0036456960323974497,0.001819589864849032,0.0011525505469516788,0.00041076170497904416,0.0009602955671268388,0.0019323462974034607,"['ekf', 'ukf']",True,
validation,2201,weak,large_stable,valid,4096,512,0.027380496562312697,5,False,0.0046501615433802036,0.0028792031109389315,0.0010899931795403455,0.002302753285748959,0.0012399253639884837,0.00330068187404248,[],True,
validation,2201,weak,small_early,valid,4096,16,0.014537706108236905,3,False,0.004224803065008057,0.0029963514961300545,0.0010221539374339812,0.002302753285748959,0.0012399253639884837,0.00330068187404248,[],True,
validation,2210,curved,large_stable,valid,4096,512,0.04572438143208619,5,False,0.004497136677675826,0.002679449624218761,0.0016738820047674896,0.010800515219861856,0.008146500530235162,0.0032502887751054404,[],True,
validation,2210,curved,small_early,valid,4096,16,0.12775000002354778,3,False,0.0040407631010898875,0.0025028178490559693,0.0018152619220823364,0.010800515219861856,0.008146500530235162,0.0032502887751054404,[],True,
validation,2211,curved,large_stable,valid,4096,512,0.030263345222909563,5,False,0.008047645698361878,0.004824562999713007,0.0016192224356213136,0.0244584910903384,0.06162397644480463,0.014001018307786208,[],True,
validation,2211,curved,small_early,valid,4096,16,0.2877625879467084,3,False,0.0089273128219793,0.005188359721163313,0.0018930831803817855,0.0244584910903384,0.06162397644480463,0.014001018307786208,[],True,
