stage,dataset,regime,ancestor_mse,innovation_mse,ukf_mse,no_resampling_mse,observed_reduction_percent,primary_interval,primary_pass,bias_screen_pass,heuristic_losses,fit_bound_contact,fitting_particle_count
pinned,1490,affine,0.0016023407792622034,0.0006483394084102237,6.723279138385044e-14,,59.5379823817034,"[-0.0013485988136035507, -0.0006023275579027339]",True,True,"['kalman', 'ekf', 'ukf']",False,16
pinned,1500,weak,0.004992185238221562,0.0015067722672391073,0.0018787414791610459,0.009274924197631273,69.81738065921836,"[-0.0048071872112821195, -0.0022339456245685212]",True,True,[],False,16
pinned,1501,weak,0.006198008434130309,0.001474684939467297,0.007708043040630299,0.021043728889372754,76.2071162835676,"[-0.006432526614992293, -0.0031812659573753894]",True,True,[],False,32
pinned,1510,curved,0.0022972050558699416,0.0013259013932669583,0.025902889788795642,0.004272498067312715,42.28197479023721,"[-0.001585082129177991, -0.0004207843006374886]",True,True,[],False,32
pinned,1511,curved,0.00839476039400909,0.0038193283872738734,0.34501855401903797,0.008779737360274821,54.50342585120676,"[-0.0070923292480715595, -0.0023497291981848844]",True,True,[],False,32
fresh,1900,weak,0.08644404936439051,0.08531891995771264,0.013889034918829847,0.09387795280616294,1.3015695295983676,"[-0.021641070412903182, 0.021139010549454496]",False,True,"['ekf', 'ukf']",True,16
fresh,1901,weak,0.0024756474008313634,0.0010789635447071278,0.000511307751634887,0.0016727238110463014,56.41691363863877,"[-0.00197787023107581, -0.000849347337617867]",True,True,['ukf'],False,32
fresh,1910,curved,0.0026662934804639513,0.0016242553407201515,0.010495268473446603,0.004026500470013586,39.081899550025476,"[-0.0018309804206101598, -0.0004339152125631166]",True,True,[],False,32
fresh,1911,curved,0.003931749749787748,0.0017839557863451303,0.22921661109594965,0.010741079260727687,54.626924400734424,"[-0.003480760797434978, -0.0010343264064066604]",True,True,[],False,32
wide,1900,weak,0.05263712202425517,0.046263721290282334,0.013889034918829847,0.07216879062937699,12.108186179016345,"[-0.017558292505287405, 0.0039383616714117565]",False,True,['ukf'],True,16
wide,1901,weak,0.0020511177888187845,0.001167042643804381,0.000511307751634887,0.0025565302793862555,43.10211484848622,"[-0.001454267717726691, -0.00037389641133067875]",True,True,['ukf'],False,32
wide,1910,curved,0.0028361257834984303,0.0012787219775602392,0.010495268473446603,0.0036556286102504554,54.91307243845496,"[-0.002476205956302561, -0.0007779323587140223]",True,True,[],False,32
wide,1911,curved,0.004075986553361494,0.0017494026063444128,0.22921661109594965,0.010347783027828253,57.080265515064845,"[-0.0034873596977008006, -0.0013372229691730184]",True,True,[],False,32
