dataset,regime,particles,method,score_mse,total_variance,bias_screen
1490,affine,4096,bootstrap_fisher,0.004313699859371302,0.004176071034983946,True
1490,affine,4096,bootstrap_fixed,0.03138136979595091,0.0019416435637678432,False
1490,affine,4096,iapf_control,0.0032145405358221407,0.003175961174941493,True
1490,affine,4096,iapf_fisher,0.004216169544958846,0.004216105946462594,True
1490,affine,4096,iapf_fixed,0.00115704248907267,0.0011565590514962766,True
1490,affine,4096,no_resampling,0.0019054795758469876,0.0019104363779855334,True
1490,affine,4096,ekf,7.167137058113361e-14,0.0,N/A deterministic comparator
1490,affine,4096,ukf,6.723279138385044e-14,0.0,N/A deterministic comparator
1500,weak,1024,bootstrap_fisher,0.04074658619754305,0.03992342767123402,True
1500,weak,1024,bootstrap_fixed,0.0776067566920153,0.02851972644118225,False
1500,weak,1024,iapf_control,0.018627003079079763,0.01862328908802807,True
1500,weak,1024,iapf_fisher,0.029515299051104064,0.029650486609592998,True
1500,weak,1024,iapf_fixed,0.009809196679511112,0.009745762038346591,True
1500,weak,1024,no_resampling,0.03592551887744691,0.03577315980066778,True
1500,weak,1024,ekf,0.007191232969871383,0.0,N/A deterministic comparator
1500,weak,1024,ukf,0.0018787414791610459,0.0,N/A deterministic comparator
1500,weak,4096,bootstrap_fisher,0.009386452908621485,0.009427385215461978,True
1500,weak,4096,bootstrap_fixed,0.04700605665580177,0.007367728624284114,False
1500,weak,4096,iapf_control,0.004972346868949858,0.004998499265725062,True
1500,weak,4096,iapf_fisher,0.00822256353745012,0.008274761386924692,True
1500,weak,4096,iapf_fixed,0.0024347303775172652,0.002435987772305615,True
1500,weak,4096,no_resampling,0.008395423056987412,0.008422490207325191,True
1500,weak,4096,ekf,0.007191232969871383,0.0,N/A deterministic comparator
1500,weak,4096,ukf,0.0018787414791610459,0.0,N/A deterministic comparator
1501,weak,1024,bootstrap_fisher,0.15010929713833948,0.15077335728049193,True
1501,weak,1024,bootstrap_fixed,1.2066294273886018,0.06076567551454502,False
1501,weak,1024,iapf_control,0.023742024866946203,0.023775879178451483,True
1501,weak,1024,iapf_fisher,0.03917969112446462,0.039356866138249486,True
1501,weak,1024,iapf_fixed,0.012679717389470097,0.012336436485531564,False
1501,weak,1024,no_resampling,0.08155873650572643,0.08188483105037041,True
1501,weak,1024,ekf,0.009607368869331083,0.0,N/A deterministic comparator
1501,weak,1024,ukf,0.007708043040630299,0.0,N/A deterministic comparator
1501,weak,4096,bootstrap_fisher,0.03327636821391964,0.033483098109121784,True
1501,weak,4096,bootstrap_fixed,1.1737293786481773,0.013218225434075838,False
1501,weak,4096,iapf_control,0.006131326994428627,0.006178467429258553,True
1501,weak,4096,iapf_fisher,0.009819193654350238,0.009893966733667164,True
1501,weak,4096,iapf_fixed,0.0033435272678912636,0.003226779704540546,False
1501,weak,4096,no_resampling,0.020623700614501052,0.020411573060739662,True
1501,weak,4096,ekf,0.009607368869331083,0.0,N/A deterministic comparator
1501,weak,4096,ukf,0.007708043040630299,0.0,N/A deterministic comparator
1510,curved,1024,bootstrap_fisher,0.020404840261242098,0.0205249783497174,True
1510,curved,1024,bootstrap_fixed,0.2954474090821317,0.01909705069680775,False
1510,curved,1024,iapf_control,0.008664915702290416,0.008722222982374774,True
1510,curved,1024,iapf_fisher,0.017594026051505125,0.01770765098317884,True
1510,curved,1024,iapf_fixed,0.007799610193466839,0.0065610177397319395,False
1510,curved,1024,no_resampling,0.013987319695627814,0.013974257082990837,True
1510,curved,1024,ekf,0.010097482369408403,0.0,N/A deterministic comparator
1510,curved,1024,ukf,0.025902889788795642,0.0,N/A deterministic comparator
1510,curved,4096,bootstrap_fisher,0.005754588558638221,0.0057444712995889085,True
1510,curved,4096,bootstrap_fixed,0.2829532020425722,0.004123694317518198,False
1510,curved,4096,iapf_control,0.0025763895785176735,0.0025924011569555577,True
1510,curved,4096,iapf_fisher,0.004867849144154492,0.0048280902282955614,True
1510,curved,4096,iapf_fixed,0.0033918242075642105,0.0019391774964681472,False
1510,curved,4096,no_resampling,0.003895156186289902,0.0039059854908872786,True
1510,curved,4096,ekf,0.010097482369408403,0.0,N/A deterministic comparator
1510,curved,4096,ukf,0.025902889788795642,0.0,N/A deterministic comparator
1511,curved,1024,bootstrap_fisher,0.07445117144471339,0.0745088297151289,True
1511,curved,1024,bootstrap_fixed,0.09619384890456754,0.03344356406374364,False
1511,curved,1024,iapf_control,0.034099340550987595,0.034015185252196226,True
1511,curved,1024,iapf_fisher,0.05263260017414532,0.05216474514515544,True
1511,curved,1024,iapf_fixed,0.024975515008645807,0.013917806668676291,False
1511,curved,1024,no_resampling,0.033998173104932666,0.03387090688679726,True
1511,curved,1024,ekf,0.5401884660795485,0.0,N/A deterministic comparator
1511,curved,1024,ukf,0.34501855401903797,0.0,N/A deterministic comparator
1511,curved,4096,bootstrap_fisher,0.0174094381664149,0.01738867710626047,True
1511,curved,4096,bootstrap_fixed,0.07066106511648629,0.008744529681213377,False
1511,curved,4096,iapf_control,0.008866891067130846,0.008901105631886109,True
1511,curved,4096,iapf_fisher,0.012527474914897516,0.012599093388127069,True
1511,curved,4096,iapf_fixed,0.012114825210398132,0.003342490220935391,False
1511,curved,4096,no_resampling,0.008767607189368058,0.008834966547643073,True
1511,curved,4096,ekf,0.5401884660795485,0.0,N/A deterministic comparator
1511,curved,4096,ukf,0.34501855401903797,0.0,N/A deterministic comparator
