dataset,regime,method,mse,variance,bias_screen_pass
1490,affine,ancestor_fresh,0.0020688952202970253,0.0020779873927625927,True
1490,affine,ancestor_previous,0.0018769516575461859,0.0019019194014449443,True
1490,affine,fixed_label,0.0009346692531413504,0.0009455355435527273,True
1490,affine,innovation,0.0009408839761177422,0.0009517447323937433,True
1490,affine,raw_fisher,0.0041123813359344,0.004137642810091222,True
1490,affine,ekf,1.9222435671949292e-14,0.0,not_a_MC_screen
1490,affine,kalman,7.891690540121138e-30,0.0,not_a_MC_screen
1490,affine,ukf,1.3159257724160423e-14,0.0,not_a_MC_screen
1500,weak,ancestor_fresh,0.004135416985931317,0.004181318667984976,True
1500,weak,ancestor_previous,0.003962889039215825,0.004012446672046867,True
1500,weak,fixed_label,0.0022370179904175037,0.0022470089122882757,True
1500,weak,innovation,0.001328399059912732,0.0013400643043126703,True
1500,weak,no_resampling,0.006848963331381896,0.006696383259733094,True
1500,weak,raw_fisher,0.006681580171494279,0.006641552915778115,True
1500,weak,ekf,0.007191249980561822,0.0,not_a_MC_screen
1500,weak,ukf,0.001878742141942435,0.0,not_a_MC_screen
1501,weak,ancestor_fresh,0.005420925918416067,0.005443852005771506,True
1501,weak,ancestor_previous,0.004504224222203626,0.004471089198601787,True
1501,weak,fixed_label,0.00280161919706587,0.0026167837087751706,False
1501,weak,innovation,0.001456492011800914,0.0014365539107748398,True
1501,weak,no_resampling,0.021164572646262498,0.021413276496102716,True
1501,weak,raw_fisher,0.008636989848894374,0.008639805157955857,True
1501,weak,ekf,0.009607219538592686,0.0,not_a_MC_screen
1501,weak,ukf,0.007708043040630299,0.0,not_a_MC_screen
1510,curved,ancestor_fresh,0.002812443676492033,0.0028394320282208846,True
1510,curved,ancestor_previous,0.002982326104561393,0.0030082406601432466,True
1510,curved,fixed_label,0.0035652465688547972,0.002283665281767951,False
1510,curved,innovation,0.0014303261217570428,0.0014472791121528615,True
1510,curved,no_resampling,0.004425837100115602,0.004416100691901222,True
1510,curved,raw_fisher,0.005373825325053717,0.005433538009262241,True
1510,curved,ekf,0.01009746699279163,0.0,not_a_MC_screen
1510,curved,ukf,0.025902959627070874,0.0,not_a_MC_screen
1511,curved,ancestor_fresh,0.009862760902278502,0.009996000629267757,True
1511,curved,ancestor_previous,0.009570835611507707,0.009709996402667486,True
1511,curved,fixed_label,0.013269683826349656,0.003734183710050559,False
1511,curved,innovation,0.005038587203229819,0.005069051710728368,True
1511,curved,no_resampling,0.011623974239379721,0.011446220015844446,True
1511,curved,raw_fisher,0.01340116962801965,0.013588682685655537,True
1511,curved,ekf,0.5401903585281951,0.0,not_a_MC_screen
1511,curved,ukf,0.3450184494149704,0.0,not_a_MC_screen
